vjdbv0.3_field_id	vjdbv0.3_name	vjdbv0.3_description	vjdbv0.3_fields_type	vjdbv0.3_privacy	vjdbv0.2__field_id	vjdbv0.1_field_id	ena_field_id	rki_field_id	migs-vi_field_id	migs-uvig_field_id	env-o_field_id	ncbi_virus_n_nucleotide_field_id	bv-brc_b_field_name	ena_erc32_field_name	ena_erc33_field_name	ena_submission_object_object_name	vjbd_submission_object_object_name	vjdbv0.3_group1	vjdbv0.3_group2	vjdbv0.3_group3	vjdbv0.3_tags	vjdbv0.3_input_source	vjdbv0.3_notes	vjdbv0.3_changes	vjdbv0.2_previous_changes	ncbi_virus_n_field_name	ncbi_virus_n_field_description	ncbi_virus_n_type	ncbi_virus_n_curation_notes	bv-brc_b_category	bv-brc_b_schema_category	bv-brc_b_field_id	bv-brc_b_field_type	bv-brc_b_type	bv-brc_b_curation_notes	ena_erc32_field_description	ena_erc32_controlled_vocabulary	ena_erc32_field_type	ena_erc33_field_description	ena_erc33_controlled_vocabulary	ena_erc33_field_type	ena_submission_requiredness	vjdb_submission_requiredness	vjdb_example	vjdb_validation_rules	ena_submission_fieldtype	ena_submission_validation	vjdbv0.3_field_index	ictv40_i_field_name	vjdbv0.3_index
hospitalisation	Hospitalisation	Was the subject confined to a hospital as a result of virus infection or problems occurring secondary to virus infection?	keyword	internal										hospitalisation	hospitalisation	ENA Sample	VJDB Sample				"[""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample""]"															(Optional) Was the subject confined to a hospital as a result of virus infection or problems occurring secondary to virus infection?			(Optional) Was the subject confined to a hospital as a result of virus infection or problems occurring secondary to virus infection?		TEXT_CHOICE_FIELD	optional	optional	yes; no	Defined list of values, provided by the ENA	combo	controlled_vocabulary	0dx		metadata
host_description	Host Description	Other descriptive information relating to the host.	keyword	internal										host description	host description	ENA Sample	VJDB Sample				"[""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample""]"		no example needed													(Optional) Other descriptive information relating to the host.			(Optional) Other descriptive information relating to the host.		TEXT_FIELD	optional	optional		Free text	textarea	freetext	0dy		metadata
illness_duration	Illness Duration	The number of days the illness lasted. example: 4	keyword	internal										illness duration	illness duration	ENA Sample	VJDB Sample				"[""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample""]"															(Optional) The number of days the illness lasted. example: 4			(Optional) The number of days the illness lasted. example: 4		TEXT_FIELD	optional	optional	4	Whole number value	text	unique	0dz		metadata
illness_onset_date	Illness Onset Date	Date the subject showed an onset of symptoms. format: yyyy-mm-dd. example: 2011-10-20	date	internal										illness onset date		ENA Sample	VJDB Sample				"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample""]"															(Optional) Date the subject showed an onset of symptoms. format: yyyy-mm-dd. example: 2011-10-20						optional	optional	2011-10-20	YYYY-MM-DD; Some browsers can display dates in a different format, but it is still correct(!)	date	freetext	0ea		metadata
illness_symptoms	Illness Symptoms	The symptoms that have been reported in relation to the illness, such as cough, diarrhea, fever, headache, malaise, myalgia, nausea, runny_nose, shortness_of_breath, sore_throat. if multiple exposures are applicable, please state them separated by semicolon.	keyword	internal										illness symptoms	illness symptoms	ENA Sample	VJDB Sample				"[""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample""]"															(Optional) The symptoms that have been reported in relation to the illness, such as cough, diarrhea, fever, headache, malaise, myalgia, nausea, runny_nose, shortness_of_breath, sore_throat. if multiple exposures are applicable, please state them separated by semicolon.			(Optional) The symptoms that have been reported in relation to the illness, such as cough, diarrhea, fever, headache, malaise, myalgia, nausea, runny_nose, shortness_of_breath, sore_throat. if multiple exposures are applicable, please state them separated by semicolon.		TEXT_AREA_FIELD	optional	optional	fever; headache; malaise; myalgia; nausea; runny_nose	Free text, symptoms seperated by semicolon	text	freetext	0eb		metadata
influenza_strain_unique_number	Influenza Strain Unique Number	Unique number of the strain which is reported as a part of the influenza strain name, such as a/chicken/fujian/411/2002(hxn1). format: integer number, example: 411	keyword	internal										influenza strain unique number		ENA Sample	VJDB Sample				"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample""]"															(Optional) Unique number of the strain which is reported as a part of the influenza strain name, such as a/chicken/fujian/411/2002(hxn1). format: integer number, example: 411						optional	optional	411	Whole number value	text	unique	0ec		metadata
influenza_vaccination_date	Influenza Vaccination Date	Date that the influenza vaccination was administered to the subject over the past year. format: yyyy-mm-dd. example: 2007-05-12	date	internal										influenza vaccination date		ENA Sample	VJDB Sample				"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample""]"															(Optional) Date that the influenza vaccination was administered to the subject over the past year. format: yyyy-mm-dd. example: 2007-05-12						optional	optional	2007-05-12	YYYY-MM-DD; Some browsers can display dates in a different format, but it is still correct(!)	date	freetext	0ed		metadata
influenza_vaccination_type	Influenza Vaccination Type	Influenza vaccinations that have been administered to the subject over the last year. example: 2009 h1n1 flumist	keyword	internal										influenza vaccination type		ENA Sample	VJDB Sample				"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample""]"															(Optional) Influenza vaccinations that have been administered to the subject over the last year. example: 2009 h1n1 flumist						optional	optional	2009 h1n1 flumist	Free text	text	freetext	0ee		metadata
influenza_like_illness_at_the_time_of_sample_collection	Influenza-like Illness at the Time of Sample Collection	Is the subject at the time of sample collection considered to have influenza like illness?	keyword	internal										influenza-like illness at the time of sample collection		ENA Sample	VJDB Sample				"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample""]"															(Optional) Is the subject at the time of sample collection considered to have influenza like illness?						optional	optional	yes; no	Defined list of values, provided by the ENA	text	freetext	0ef		metadata
inoculation_dose	Inoculation Dose	Dose used for the inoculoation experiment.	keyword	internal										inoculation dose		ENA Sample	VJDB Sample				"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample""]"		not sure													(Optional) Dose used for the inoculoation experiment.						optional	optional		Free text	text	freetext	0eg		metadata
inoculation_route	Inoculation Route	Brief description of the protocol inoculation route.	keyword	internal										inoculation route		ENA Sample	VJDB Sample				"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample""]"		not sure													(Optional) Brief description of the protocol inoculation route.						optional	optional		Free text	text	freetext	0eh		metadata
inoculation_stock_availability	Inoculation Stock Availability	Is the virus stock used for the inoculation available?	keyword	internal										inoculation stock availability		ENA Sample	VJDB Sample				"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample""]"		not sure													(Optional) Is the virus stock used for the inoculation available?						optional	optional		Free text	combo	controlled_vocabulary	0ei		metadata
lineage_swl	Lineage: SWL (Required for H1N1 Viruses)	Does the h1n1 influenza virus originate from a swine-like outbreak (as opposed to a seasonal flu)?	keyword	internal										lineage:swl (required for H1N1 viruses)		ENA Sample	VJDB Sample				"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample""]"		not sure													(Optional) Does the h1n1 influenza virus originate from a swine-like outbreak (as opposed to a seasonal flu)?						optional	optional		Free text	combo	controlled_vocabulary	0ej		metadata
meaning_of_cut_off_value	Meaning of Cut Off Value	Description helping to explain what the cut off value means.	keyword	internal										meaning of cut off value		ENA Sample	VJDB Sample				"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample""]"		no example needed													(Optional) Description helping to explain what the cut off value means.						optional	optional		Free text	text	freetext	0ek		metadata
number_of_inoculated_individuals	Number of Inoculated Individuals	Number of host individuals inoculated for the experiment.	keyword	internal										number of inoculated individuals		ENA Sample	VJDB Sample				"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample""]"															(Optional) Number of host individuals inoculated for the experiment.						optional	optional	5	Whole number value	text	unique	0el		metadata
personal_protective_equipment	Personal Protective Equipment	Use of personal protective equipment, such as gloves, gowns, during any type of exposure. example: mask	keyword	internal										personal protective equipment	personal protective equipment	ENA Sample	VJDB Sample				"[""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample""]"															(Optional) Use of personal protective equipment, such as gloves, gowns, during any type of exposure. example: mask			(Optional) Use of personal protective equipment, such as gloves, gowns, during any type of exposure. example: mask		TEXT_FIELD	optional	optional	mask	Free text, multiple values seperated by semicolon	text	unique	0em		metadata
sample_capture_status	Sample Capture Status	Reason for the sample collection.	keyword	internal										sample capture status	sample capture status	ENA Sample	VJDB Sample				"[""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample""]"															(Recommended) Reason for the sample collection.			(Recommended) Reason for the sample collection.		TEXT_CHOICE_FIELD	recommended	recommended	active surveillance in response to outbreak; market sample	Defined list of values, provided by the ENA	combo	controlled_vocabulary	0en		metadata
sample_storage_conditions	Sample Storage Conditions	Conditions at which sample was stored, usually storage temperature, duration and location. in soil context: explain how and for how long the soil sample was stored before dna extraction (fresh/frozen/other).	keyword	internal										sample storage conditions	sample storage conditions	ENA Sample	VJDB Sample				"[""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample""]"		not sure													(Optional) Conditions at which sample was stored, usually storage temperature, duration and location. in soil context: explain how and for how long the soil sample was stored before dna extraction (fresh/frozen/other).			(Optional) Conditions at which sample was stored, usually storage temperature, duration and location		TEXT_FIELD	optional	optional		Free text	text	freetext	0eo		metadata
sample_description	Sample Description	Free-form text describing the sample, its origin, and its method of isolation.	keyword	internal										sample_description	sample_description	ENA Sample	VJDB Sample				"[""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample""]"		no example needed													(Optional) Free-form text describing the sample, its origin, and its method of isolation.			(Optional) Free-form text describing the sample, its origin, and its method of isolation.		TEXT_AREA_FIELD	optional	optional		Free text	textarea	freetext	0ep		metadata
source_of_vaccination_information	Source of Vaccination Information	Designation of information related to vaccination history as self reported or documented.	keyword	internal										source of vaccination information		ENA Sample	VJDB Sample				"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample""]"															(Optional) Designation of information related to vaccination history as self reported or documented.						optional	optional	decoumented; self reported	Defined list of values, provided by the ENA	combo	controlled_vocabulary	0eq		metadata
strain	Strain	Name of the strain from which the sample was obtained.	keyword	internal									Strain	strain	strain	ENA Sample	VJDB Sample				"[""BV-BRC"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample""]"		not sure									strain				(Optional) Name of the strain from which the sample was obtained.			(Optional) Name of the strain from which the sample was obtained.		TEXT_FIELD	optional	optional		Free text	text	freetext	0er		metadata
study_abstract	Study Description	Briefly describes the goals, purpose, and scope of the study.  this need not be listed if it can be inherited from a referenced publication.	keyword	internal										study_abstract	study_abstract	ENA Study	VJDB Study				"[""ENA ERC32"", ""ENA ERC33"", ""ENA Study"", ""VJDB Study""]"		no example needed													(Optional) Briefly describes the goals, purpose, and scope of the study. this need not be listed if it can be inherited from a referenced publication.			(Optional) Briefly describes the goals, purpose, and scope of the study. this need not be listed if it can be inherited from a referenced publication.		TEXT_AREA_FIELD	optional	mandatory		Free text	textarea	freetext	0es		metadata
subject_exposure	Subject Exposure	Exposure of the subject to infected human or animals, such as poultry, wild bird or swine. if multiple exposures are applicable, please state them separated by semicolon. example: poultry; wild bird	keyword	internal										subject exposure	subject exposure	ENA Sample	VJDB Sample				"[""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample""]"															(Optional) Exposure of the subject to infected human or animals, such as poultry, wild bird or swine. if multiple exposures are applicable, please state them separated by semicolon. example: poultry; wild bird			(Optional) Exposure of the subject to infected human or animals, such as poultry, wild bird or swine. if multiple exposures are applicable, please state them separated by semicolon. example: poultry; wild bird		TEXT_FIELD	optional	optional	poultry; wild  bird	Free text, multiple values seperated by semicolon	text	unique	0et		metadata
subject_exposure_duration	Subject Exposure Duration	Duration of the exposure of the subject to an infected human or animal. if multiple exposures are applicable, please state their duration in the same order in which you reported the exposure in the field 'subject exposure'. example: 1 day; 0.33 days (Units: year)	keyword	internal										subject exposure duration	subject exposure duration	ENA Sample	VJDB Sample				"[""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample""]"															(Optional) Duration of the exposure of the subject to an infected human or animal. if multiple exposures are applicable, please state their duration in the same order in which you reported the exposure in the field 'subject exposure'. example: 1 day; 0.33 days (Units: year)			(Optional) Duration of the exposure of the subject to an infected human or animal. if multiple exposures are applicable, please state their duration in the same order in which you reported the exposure in the field 'subject exposure'. example: 1 day; 0.33 days		TEXT_FIELD	optional	optional	1 day; 0.33 days 	Decimal number value followed by an empty space and the unit(!). If there are multiple values in Subject Exposure field add equally may fields here in the same order as Subject Exposure(!)	text	unique	0eu		metadata
study_title	Study Title	Clear and useful title of the study/ project, e.g. a title usable for a publication or the purpose of the project and its timeframe.	keyword	internal										title	title	ENA Study	VJDB Study				"[""ENA ERC32"", ""ENA ERC33"", ""ENA Study"", ""VJDB Study""]"		no example needed													(Mandatory) Title of the study as would be used in a publication.			(Mandatory) Title of the study as would be used in a publication.		TEXT_FIELD	mandatory	mandatory		Free text	text	freetext	0ev		metadata
experiment_title	Experiment Title	Clear and useful title to identify the sequencing experiment. This title will not be submitted to the ENA on submission.	keyword	internal										title	title	ENA Experiment	VJDB Experiment				"[""ENA ERC32"", ""ENA ERC33"", ""ENA Experiment"", ""VJDB Experiment""]"		no example needed													(Mandatory) Short text that can be used to call out experiment records in searches or in displays. this element is technically optional but should be used for all new records.			(Optional) Short text that can be used to call out experiment records in searches or in displays. this element is technically optional but should be used for all new records.		TEXT_FIELD	mandatory	mandatory		Free text	text	freetext	0ew		metadata
sample_title	Sample Title	Clear and useful title to identify the sample the sequence originates from was collected/sampled. This title will not be submitted to the ENA on submission.	keyword	internal										title	title	ENA Sample	VJDB Sample				"[""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample""]"		no example needed													(Mandatory) Short text that can be used to call out sample records in search results or in displays.			(Mandatory) Short text that can be used to call out sample records in search results or in displays.		TEXT_FIELD	mandatory	mandatory		Free text	text	freetext	0ex		metadata
type_exposure	Type Exposure	Setting within which the subject is exposed to animals, such as farm, slaughterhouse, food preparation. if multiple exposures are applicable, please state their type in the same order in which you reported the exposure in the field 'subject exposure'. example: backyard flock; confined animal feeding operation	keyword	internal										type exposure	type exposure	ENA Sample	VJDB Sample				"[""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample""]"															(Optional) Setting within which the subject is exposed to animals, such as farm, slaughterhouse, food preparation. if multiple exposures are applicable, please state their type in the same order in which you reported the exposure in the field 'subject exposure'. example: backyard flock; confined animal feeding operation			(Optional) Setting within which the subject is exposed to animals, such as farm, slaughterhouse, food preparation. if multiple exposures are applicable, please state their type in the same order in which you reported the exposure in the field 'subject exposure'. example: backyard flock; confined animal feeding operation		TEXT_FIELD	optional	optional	backyard flock; confined animal feeding operation	Free text, multiple values seperated by semicolon. If there are multiple values in Subject Exposure field add equally may fields here in the same order as Subject Exposure(!)	text	unique	0ey		metadata
vaccine_dosage	Vaccine Dosage	Dosage of the vaccine taken by the host. example: 0.05 ml	keyword	internal										vaccine dosage		ENA Sample	VJDB Sample				"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample""]"															(Optional) Dosage of the vaccine taken by the subject. example: 0.05 ml						optional	optional	0.05 ml	Decimal number value followed by an empty space and the unit(!)	text	freetext	0ez		metadata
vaccine_lot_number	Vaccine Lot Number	Lot number of the vaccine.	keyword	internal										vaccine lot number		ENA Sample	VJDB Sample				"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample""]"		not sure													(Optional) Lot number of the vaccine.						optional	optional		Free text	text	freetext	0fa		metadata
vaccine_manufacturer	Vaccine Manufacturer	Manufacturer of the vaccine.	keyword	internal										vaccine manufacturer		ENA Sample	VJDB Sample				"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample""]"		not sure													(Optional) Manufacturer of the vaccine.						optional	optional		Free text	text	freetext	0fb		metadata
who_clade	WHO/OIE/FAO Clade (Required for HPAI H5N1 Viruses)	Who/oie/fao clade should be included for highly pathogenic h5n1 viruses. example: 2.2	keyword	internal										WHO/OIE/FAO clade (required for HPAI H5N1 viruses)		ENA Sample	VJDB Sample				"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample""]"															(Optional) Who/oie/fao clade should be included for highly pathogenic h5n1 viruses. example: 2.2						optional	optional	2.2	Free text	text	freetext	0fc		metadata
virus_old_names	Virus Old Names	Collection of outdated names for a particular virus.	keyword	internal																	[]		no example needed																									0fd		metadata
sequence_byte_range	Sequence Byte Range	Byte range data of the sample in the sequence file without the header	integer list	internal																	[]		no example needed																									0fe		metadata
sequence_path	Sequence Path	The file location of the multiseq fasta file including the parent folder name 	keyword	internal																	[]		no example needed																									0ff		metadata
insertion_date	Insertion Date	Date of the insertion into the VirJen database	date	internal																	[]		no example needed																									0fg		metadata
update_date	Update Date	The last date the metadata was updated in the VirJen database.	date	internal																	[]																											0fh		metadata
ictv_realm	ICTV Realm	A 'Realm' is the highest taxonomic rank into which virus species can be classified. Defined by the ICTV.	keyword	public														Sample		ICTV Taxonomy	"[""Sample"", ""ICTV Taxonomy""]"	ICTV	no example needed																									0fi	Realm	taxonomy
ictv_subrealm	ICTV Subrealm	A 'Subrealm' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.	keyword	internal														Sample		ICTV Taxonomy	"[""Sample"", ""ICTV Taxonomy""]"	ICTV	no example needed																									0fj	Subrealm	taxonomy
ictv_kingdom	ICTV Kindgom	A 'Kingdom' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.	keyword	public														Sample		ICTV Taxonomy	"[""Sample"", ""ICTV Taxonomy""]"	ICTV	no example needed																									0fk	Kingdom	taxonomy
ictv_subkingdom	ICTV Subkingdom	A 'Subkingdom' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.	keyword	internal														Sample		ICTV Taxonomy	"[""Sample"", ""ICTV Taxonomy""]"	ICTV	no example needed																									0fl	Subkingdom	taxonomy
ictv_phylum	ICTV Phylum	A 'Phylum' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.	keyword	public														Sample		ICTV Taxonomy	"[""Sample"", ""ICTV Taxonomy""]"	ICTV	no example needed																									0fm	Phylum	taxonomy
ictv_subphylum	ICTV Subphylum	A 'Subphylum' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.	keyword	public														Sample		ICTV Taxonomy	"[""Sample"", ""ICTV Taxonomy""]"	ICTV	no example needed																									0fn	Subphylum	taxonomy
ictv_class	ICTV Class	A 'Class' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.	keyword	public														Sample		ICTV Taxonomy	"[""Sample"", ""ICTV Taxonomy""]"	ICTV	no example needed																									0fo	Class	taxonomy
ictv_subclass	ICTV Subclass	A 'Subclass' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.	keyword	internal														Sample		ICTV Taxonomy	"[""Sample"", ""ICTV Taxonomy""]"	ICTV	no example needed																									0fp	Subclass	taxonomy
ictv_order	ICTV Order	A 'Order' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.	keyword	public														Sample		ICTV Taxonomy	"[""Sample"", ""ICTV Taxonomy""]"	ICTV	no example needed																									0fq	Order	taxonomy
ictv_suborder	ICTV Suborder	A 'suborder' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.	keyword	public														Sample		ICTV Taxonomy	"[""Sample"", ""ICTV Taxonomy""]"	ICTV	no example needed																									0fr	Suborder	taxonomy
ictv_family	ICTV Family	A 'Family' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.	keyword	public														Sample		ICTV Taxonomy	"[""Sample"", ""ICTV Taxonomy""]"	ICTV	no example needed																									0fs	Family	taxonomy
ictv_subfamily	ICTV Subfamily	A 'Subfamily' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.	keyword	public														Sample		ICTV Taxonomy	"[""Sample"", ""ICTV Taxonomy""]"	ICTV	no example needed																									0ft	Subfamily	taxonomy
ictv_genus	ICTV Genus	A 'Genus' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.	keyword	public														Sample		ICTV Taxonomy	"[""Sample"", ""ICTV Taxonomy""]"	ICTV	no example needed																									0fu	Genus	taxonomy
ictv_subgenus	ICTV Subgenus	A 'Subgenus' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.	keyword	public														Sample		ICTV Taxonomy	"[""Sample"", ""ICTV Taxonomy""]"	ICTV	no example needed																									0fv	Subgenus	taxonomy
ictv_species	ICTV Species	A Species is the lowest taxonomic rank in the hierarchy approved by the ICTV. While subspecies levels of classification may exist for some viruses (e.g. Hepatitis C virus), the ICTV does not classify viruses below the species level. Defined by the ICTV.	keyword	public	sample_ictv_scientific_name	tree_rank_name												Sample		ICTV Taxonomy	"[""Sample"", ""ICTV Taxonomy""]"	ICTV	Taxonomy Descision; no example needed	tbd																						suggestion	freetext	0fw	Species	taxonomy
ncbi_realm	NCBI Realm	A 'Realm' is the highest taxonomic rank into which virus species can be classified. Defined by the NCBI.	keyword	public														Sample		NCBI Taxonomy	"[""Sample"", ""NCBI Taxonomy""]"		no example needed																									0fx		metadata
ncbi_subrealm	NCBI Subrealm	A 'Subrealm' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.	keyword	internal														Sample		NCBI Taxonomy	"[""Sample"", ""NCBI Taxonomy""]"		no example needed																									0fy		metadata
ncbi_kingdom	NCBI Kindgom	A 'Kingdom' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.	keyword	public									Kingdom					Sample		NCBI Taxonomy	"[""BV-BRC"", ""Sample"", ""NCBI Taxonomy""]"	BVBRC	no example needed						Taxonomy Info	Taxonomy	kingdom	string_ci																0fz		metadata
ncbi_subkingdom	NCBI Subkingdom	A 'Subkingdom' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.	keyword	internal														Sample		NCBI Taxonomy	"[""Sample"", ""NCBI Taxonomy""]"		no example needed																									0ga		metadata
ncbi_phylum	NCBI Phylum	A 'Phylum' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.	keyword	public									Phylum					Sample		NCBI Taxonomy	"[""BV-BRC"", ""Sample"", ""NCBI Taxonomy""]"	BVBRC	no example needed						Taxonomy Info	Taxonomy	phylum	string_ci																0gb		metadata
ncbi_subphylum	NCBI Subphylum	A 'Subphylum' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.	keyword	public														Sample		NCBI Taxonomy	"[""Sample"", ""NCBI Taxonomy""]"		no example needed																									0gc		metadata
ncbi_class	NCBI Class	A 'Class' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.	keyword	public									Class					Sample		NCBI Taxonomy	"[""BV-BRC"", ""Sample"", ""NCBI Taxonomy""]"	BVBRC	no example needed						Taxonomy Info	Taxonomy	class	string_ci																0gd		metadata
ncbi_subclass	NCBI Subclass	A 'Subclass' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.	keyword	internal														Sample		NCBI Taxonomy	"[""Sample"", ""NCBI Taxonomy""]"		no example needed																									0ge		metadata
ncbi_order	NCBI Order	A 'Order' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.	keyword	public									Order					Sample		NCBI Taxonomy	"[""BV-BRC"", ""Sample"", ""NCBI Taxonomy""]"	BVBRC	no example needed						Taxonomy Info	Taxonomy	order	string_ci																0gf		metadata
ncbi_suborder	NCBI Suborder	A 'suborder' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.	keyword	public														Sample		NCBI Taxonomy	"[""Sample"", ""NCBI Taxonomy""]"		no example needed																									0gg		metadata
ncbi_family	NCBI Family	A 'Family' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.	keyword	public	sample_family							Family	Family					Sample		NCBI Taxonomy	"[""NCBI Virus"", ""BV-BRC"", ""Sample"", ""NCBI Taxonomy""]"	NCBI Virus|BVBRC	Taxonomy Descision; no example needed			Family	Family name, as identified by NCBI Taxonomy.			Taxonomy Info	Taxonomy	family	string_ci													text	freetext	0gh		metadata
ncbi_subfamily	NCBI Subfamily	A 'Subfamily' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.	keyword	public														Sample		NCBI Taxonomy	"[""Sample"", ""NCBI Taxonomy""]"		no example needed																									0gi		metadata
ncbi_genus	NCBI Genus	A 'Genus' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.	keyword	public	sample_genus							Genus	Genus					Sample		NCBI Taxonomy	"[""NCBI Virus"", ""BV-BRC"", ""Sample"", ""NCBI Taxonomy""]"	NCBI Virus|BVBRC	Taxonomy Descision; no example needed			Genus	Genus name, as identified by NCBI Taxonomy.			Taxonomy Info	Taxonomy	genus	string_ci													text	freetext	0gj		metadata
ncbi_subgenus	NCBI Subgenus	A 'Subgenus' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.	keyword	public														Sample		NCBI Taxonomy	"[""Sample"", ""NCBI Taxonomy""]"		no example needed																									0gk		metadata
ncbi_species	NCBI Species	A Species is the lowest taxonomic rank in the hierarchy approved by the NCBI. While subspecies levels of classification may exist for some viruses (e.g. Hepatitis C virus), the NCBI does not classify viruses below the species level. Defined by the NCBI.	keyword	public	sample_NCBI_scientific_name [sample_species_name_scientific]	NCBI_lineage?	scientific name					Species	Species					Sample		NCBI Taxonomy	"[""ENA"", ""NCBI Virus"", ""BV-BRC"", ""Sample"", ""NCBI Taxonomy""]"	NCBI Virus|BVBRC	NCBI Virus has only the virus species in this field, Taxonomy Descision; no example needed		Not in VJDB, Completly new due to byCovid	Species	Species name, as defined by NCBI Taxonomy.			Taxonomy Info	Taxonomy	species	string_ci									mandatory	mandatory			suggestion	unique	0gl		metadata
virus_genotype	Genotype	"The genotype or subtype of a viral sequence, as provided by the sequence submitter. This field comes from the ""/serotype"" field of the GenBank record and is showns as submitted. Consistency and accuracy may vary."	keyword	public	sample_variant	variant			subspecf_gen_lin; broad field			Genotype						Sample		NCBI Taxonomy	"[""MIGS-VI"", ""NCBI Virus"", ""Sample"", ""NCBI Taxonomy""]"	NCBI Virus	Is sample needed at all? Do we relate everything to the sequence/the virus  -> Variant, Taxonomy Decision: Variant or NCBI/ICTV Variant; no example needed			Genotype	"In the NCBI Virus database, the term ""Genotype"" refers to the genotype or subtype of a viral sequence, as provided by the sequence submitter. This information is displayed in the Genotype column of the Results Table and can also be used as a filter to refine search results.

The genotype information is parsed from the ""/serotype"" field of the GenBank record and is shown exactly as it was submitted by the sequence submitter. The presence, accuracy, and consistency of genotype data may vary between records, as it is not a mandatory field in the GenBank submission process."																			text	freetext	0gm		metadata
virus_isolate	Isolate	Individual isolate from which the sample was obtained	keyword	public	sample_isolate		isolate					Isolate			isolate	ENA Sample	VJDB Sample	Sample		NCBI Taxonomy	"[""ENA"", ""NCBI Virus"", ""ENA ERC33"", ""Sample"", ""ENA Sample"", ""VJDB Sample"", ""NCBI Taxonomy""]"	NCBI Virus	Taxonomy Descision; not sure		Not in VJDB, Completly new due to byCovid	Isolate	"Isolate or strain name from the ""/isolate"" field of GenBank record. For more information, see Glossary: Isolate."												(Mandatory) Individual isolate from which the sample was obtained		TEXT_FIELD	mandatory	mandatory		Free text	text	freetext	0gn		metadata
host_age_submission	Host Age	Host age given by a number. Is connected to Host Age Unit. The number should match the unit. E.g. 2 years	float	private																	[]	no source																						37	Whole number value			0go		metadata
