vjdbv1.1_field_id	vjdbv1.1_name	vjdbv1.1_description	vjdbv1.1_privacy	vjdbv1.1_tags	vjdb_submission_requiredness	vjdb_example	vjdb_validation_rules	ena_submission_fieldtype	ena_submission_validation
virus_prediction_method	Virus Prediction Method	The tool used to predict the virus sequence. No value means that it is not a predicted virus sequence. 	public	"[""Analysis"", ""Workflows""]"	N/A	N/A	N/A	N/A	N/A
is_refseq_sequence	RefSeq Sequence	Determines if this virus sequence is a reference sequence in the RefSeq database.	public	"[""NCBI Virus"", ""BV-BRC"", ""Source"", ""Flags""]"	N/A	true	boolean value(!)	N/A	N/A
release_date	Release Date	Date when the sequence was made public in a repository (e.g. GenBank, BV-BRC).	public	"[""RKI"", ""NCBI Virus"", ""Organizational"", ""Sequence""]"	N/A	2023-05-20	YYYY-MM-DD; Some browsers can display dates in a different format, but it is still correct(!)	date	freetext
segment_name	Segment Name	Name or number of the virus segment.	public	"[""NCBI Virus"", ""Sample"", ""Sequence""]"	N/A	spike; 1; whole genome	Free text	text	freetext
sequence_length	Sequence Length	Length of the virus sequence in basepairs (bp).	public	"[""NCBI Virus"", ""BV-BRC"", ""IMG/VR"", ""PHD"", ""PhiSpy"", ""Sample"", ""Sequence"", ""Workflows""]"	N/A	10201	Integer value; Number of basepairs (bp)(!)	text	unique
sequence_source	Sequence Source	The name of the source database or tool by which the virus sequence was added in VirJenDB; in the case of PhiSpy-predicted prophages, the value is PhiSpy.	public	"[""Organizational"", ""Source""]"	N/A	N/A	N/A	combo	controlled_vocabulary
sequencing_center	Sequencing Center	Institution that sequenced the collected sample.	public	"[""BV-BRC"", ""Organizational"", ""Sequence"", ""Workflows""]"	N/A	US Food and Drug Administration	Free text	text	freetext
sra_accession	SRA Accession	NCBI Sequence Read Archive (SRA) Accession.	public	"[""NCBI Virus"", ""BV-BRC"", ""Organizational"", ""Identifiers""]"	N/A	N/A	N/A	text	freetext
strain	Strain	Name of the virus strain associated with the sample from which the virus sequence was obtained.	public	"[""BV-BRC"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Virus Info""]"	optional	N/A	Free text	text	freetext
submitter	Submitter	Name(s) of the submitter(s) of the virus sequence.	public	"[""NCBI Virus"", ""VJDB Study"", ""Organizational"", ""Submission""]"	mandatory	Zuckerman,N., Mandelboim,M.	Free text	text	freetext
submitter_country	Submitter Country	Country of the submitter's organization.	public	"[""NCBI Virus"", ""VJDB Study"", ""Sample"", ""Submission""]"	mandatory	Germany	Defined list of countries, provided by the INSDC	combo	controlled_vocabulary
submitter_organization	Submitter Organization	Organization the submitter(s) is(are) affiliated with.	public	"[""NCBI Virus"", ""VJDB Study"", ""Organizational"", ""Submission""]"	mandatory	National Center for Biotechnology Information, NIH	Free text	text	freetext
submitter_region	Submitter Region	Region or location of the organization of the submitters.	public	"[""Sample"", ""Submission""]"	N/A	N/A	N/A	combo	controlled_vocabulary
unique_reference	Unique Reference	The VirJenDB ID for the unique representative sequence. For the non-phages, the smallest Accession in the group. See documentation for selection details.	public	"[""Internal"", ""Analysis"", ""Workflows""]"	N/A	N/A	N/A	N/A	N/A
is_unique_representative	Unique Representative	Flag indicating yes if the sequence is a representative for a group of identical VirJenDB sequences.	public	"[""Analysis"", ""Flags""]"	N/A	N/A	N/A	N/A	N/A
virjendb_accession	VirJenDB Accession	Unique identifier of the virus sequence, assigned by VirJenDB.	public	"[""Organizational"", ""Source"", ""Identifiers""]"	N/A	10580360	Whole number value	text	unique
virjendb_metadata_version	VirJenDB Metadata Version	Version of the virus sequence record, including metadata, assigned by VirJenDB.	public	"[""Organizational"", ""Source""]"	N/A	N/A	N/A	text	freetext
sequence_url	GenBank URL	URL to the GenBank record from the ICTV VMR	private	N/A	N/A	N/A	N/A	N/A	N/A
