vjdbv1.0_field_index,vjdbv1.0_field_id,vjdbv1.0_name,vjdbv1.0_description,vjdbv1.0_fields_type,vjdbv1.0_privacy,vjdbv0.2__field_id,vjdbv0.1_field_id,ena_field_id,rki_field_id,migs-vi_field_id,migs-uvig_field_id,env-o_field_id,ncbi_virus_n_nucleotide_field_id,bv-brc_b_field_name,ena_erc32_field_name,ena_erc33_field_name,img/vr_field_name,phd_field_name,phispy_field_name,gtdb_field_name,ena_submission_object_object_name,vjbd_submission_object_object_name,vjdbv1.0_group1,vjdbv1.0_group2,vjdbv1.0_group3,vjdbv1.0_tags,vjdbv1.0_input_source,vjdbv1.0_notes,vjdbv1.0_changes,vjdbv0.2_previous_changes,ncbi_virus_n_field_name,ncbi_virus_n_field_description,ncbi_virus_n_type,ncbi_virus_n_curation_notes,bv-brc_b_category,bv-brc_b_schema_category,bv-brc_b_field_id,bv-brc_b_field_type,bv-brc_b_type,bv-brc_b_curation_notes,ena_erc32_field_description,ena_erc32_controlled_vocabulary,ena_erc32_field_type,ena_erc33_field_description,ena_erc33_controlled_vocabulary,ena_erc33_field_type,ena_submission_requiredness,vjdb_submission_requiredness,vjdb_example,vjdb_validation_rules,ena_submission_fieldtype,ena_submission_validation,ictv40_i_field_name,vjdbv1.0_index,vjdbv1.0_search_method,vjdbv1.0_default_search
0el,number_of_inoculated_individuals,Number of Inoculated Individuals,Number of host individuals inoculated for the experiment.,integer,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,number of inoculated individuals,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Number of host individuals inoculated for the experiment.,N/A,N/A,N/A,N/A,N/A,optional,optional,5,Whole number value,text,unique,N/A,metadata,no ,N/A
0em,personal_protective_equipment,Personal Protective Equipment,"Use of personal protective equipment, such as gloves, gowns, during any type of exposure. example: mask",keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,personal protective equipment,personal protective equipment,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Optional) Use of personal protective equipment, such as gloves, gowns, during any type of exposure. example: mask",N/A,N/A,"(Optional) Use of personal protective equipment, such as gloves, gowns, during any type of exposure. example: mask",N/A,TEXT_FIELD,optional,optional,mask,"Free text, multiple values seperated by semicolon",text,unique,N/A,metadata,no ,N/A
0en,sample_capture_status,Sample Capture Status,Reason for the sample collection.,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sample capture status,sample capture status,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Recommended) Reason for the sample collection.,N/A,N/A,(Recommended) Reason for the sample collection.,N/A,TEXT_CHOICE_FIELD,recommended,recommended,active surveillance in response to outbreak; market sample,"Defined list of values, provided by the ENA",combo,controlled_vocabulary,N/A,metadata,no ,N/A
0eo,sample_storage_conditions,Sample Storage Conditions,"Conditions at which sample was stored, usually storage temperature, duration and location. in soil context: explain how and for how long the soil sample was stored before dna extraction (fresh/frozen/other).",integer,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sample storage conditions,sample storage conditions,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,not sure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Optional) Conditions at which sample was stored, usually storage temperature, duration and location. in soil context: explain how and for how long the soil sample was stored before dna extraction (fresh/frozen/other).",N/A,N/A,"(Optional) Conditions at which sample was stored, usually storage temperature, duration and location",N/A,TEXT_FIELD,optional,optional,N/A,Free text,text,freetext,N/A,metadata,no ,N/A
0ep,sample_description,Sample Description,"Free-form text describing the sample, its origin, and its method of isolation.",text,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sample_description,sample_description,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Optional) Free-form text describing the sample, its origin, and its method of isolation.",N/A,N/A,"(Optional) Free-form text describing the sample, its origin, and its method of isolation.",N/A,TEXT_AREA_FIELD,optional,optional,N/A,Free text,textarea,freetext,N/A,metadata,no ,N/A
0eq,source_of_vaccination_information,Source of Vaccination Information,Designation of information related to vaccination history as self reported or documented.,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,source of vaccination information,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Designation of information related to vaccination history as self reported or documented.,N/A,N/A,N/A,N/A,N/A,optional,optional,decoumented; self reported,"Defined list of values, provided by the ENA",combo,controlled_vocabulary,N/A,metadata,no ,N/A
0es,study_description,Study Description,"Briefly describes the goals, purpose, and scope of the study.  this need not be listed if it can be inherited from a referenced publication.",text,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,study_abstract,study_abstract,N/A,N/A,N/A,N/A,ENA Study,VJDB Study,Organizational,Study,N/A,"['ENA ERC32', 'ENA ERC33', 'Organizational', 'ENA Study', 'VJDB Study', 'Study']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Optional) Briefly describes the goals, purpose, and scope of the study. this need not be listed if it can be inherited from a referenced publication.",N/A,N/A,"(Optional) Briefly describes the goals, purpose, and scope of the study. this need not be listed if it can be inherited from a referenced publication.",N/A,TEXT_AREA_FIELD,optional,mandatory,N/A,Free text,textarea,freetext,N/A,metadata,no ,N/A
0et,subject_exposure,Subject Exposure,"Exposure of the subject to infected human or animals, such as poultry, wild bird or swine. If multiple exposures are applicable, these are separated by semicolon. Example: poultry;wild bird",text,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,subject exposure,subject exposure,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Optional) Exposure of the subject to infected human or animals, such as poultry, wild bird or swine. if multiple exposures are applicable, please state them separated by semicolon. example: poultry; wild bird",N/A,N/A,"(Optional) Exposure of the subject to infected human or animals, such as poultry, wild bird or swine. if multiple exposures are applicable, please state them separated by semicolon. example: poultry; wild bird",N/A,TEXT_FIELD,optional,optional,poultry; wild  bird,"Free text, multiple values seperated by semicolon",text,unique,N/A,metadata,no ,N/A
0eu,subject_exposure_duration,Subject Exposure Duration,"Duration of the exposure of the subject to an infected human or animal. If multiple exposures are applicable, their duration is stated in the same order in which the exposure in the field was reported: 'subject exposure'. Example: 1 day; 0.33 days (Units: year)",integer,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,subject exposure duration,subject exposure duration,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Optional) Duration of the exposure of the subject to an infected human or animal. if multiple exposures are applicable, please state their duration in the same order in which you reported the exposure in the field 'subject exposure'. example: 1 day; 0.33 days (Units: year)",N/A,N/A,"(Optional) Duration of the exposure of the subject to an infected human or animal. if multiple exposures are applicable, please state their duration in the same order in which you reported the exposure in the field 'subject exposure'. example: 1 day; 0.33 days",N/A,TEXT_FIELD,optional,optional,1 day; 0.33 days ,Decimal number value followed by an empty space and the unit(!). If there are multiple values in Subject Exposure field add equally may fields here in the same order as Subject Exposure(!),text,unique,N/A,metadata,no ,N/A
0ev,study_title,Study Title,"Clear and useful title of the study/project, e.g. a title usable for a publication or the purpose of the project and its timeframe.",text,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,title,title,N/A,N/A,N/A,N/A,ENA Study,VJDB Study,Organizational,Study,N/A,"['ENA ERC32', 'ENA ERC33', 'Organizational', 'ENA Study', 'VJDB Study', 'Study']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) Title of the study as would be used in a publication.,N/A,N/A,(Mandatory) Title of the study as would be used in a publication.,N/A,TEXT_FIELD,mandatory,mandatory,N/A,Free text,text,freetext,N/A,metadata,no ,N/A
0ew,experiment_title,Experiment Title,Clear and useful title to identify the sequencing experiment. This title will not be submitted to the ENA on submission.,text,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,title,title,N/A,N/A,N/A,N/A,ENA Experiment,VJDB Experiment,Organizational,Study,N/A,"['ENA ERC32', 'ENA ERC33', 'Organizational', 'ENA Experiment', 'VJDB Experiment', 'Study']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) Short text that can be used to call out experiment records in searches or in displays. this element is technically optional but should be used for all new records.,N/A,N/A,(Optional) Short text that can be used to call out experiment records in searches or in displays. this element is technically optional but should be used for all new records.,N/A,TEXT_FIELD,mandatory,mandatory,N/A,Free text,text,freetext,N/A,metadata,no ,N/A
0ex,sample_title,Sample Title,Clear and useful title to identify the sample the sequence originates from was collected/sampled. This title will not be submitted to the ENA on submission.,text,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,title,title,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Organizational,Study,N/A,"['ENA ERC32', 'ENA ERC33', 'Organizational', 'ENA Sample', 'VJDB Sample', 'Study']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) Short text that can be used to call out sample records in search results or in displays.,N/A,N/A,(Mandatory) Short text that can be used to call out sample records in search results or in displays.,N/A,TEXT_FIELD,mandatory,mandatory,N/A,Free text,text,freetext,N/A,metadata,no ,N/A
0ey,type_exposure,Type Exposure,"Setting within which the subject is exposed to animals, such as farm, slaughterhouse, food preparation. if multiple exposures are applicable, please state their type in the same order in which you reported the exposure in the field 'subject exposure'. example: backyard flock; confined animal feeding operation",text,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,type exposure,type exposure,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Optional) Setting within which the subject is exposed to animals, such as farm, slaughterhouse, food preparation. if multiple exposures are applicable, please state their type in the same order in which you reported the exposure in the field 'subject exposure'. example: backyard flock; confined animal feeding operation",N/A,N/A,"(Optional) Setting within which the subject is exposed to animals, such as farm, slaughterhouse, food preparation. if multiple exposures are applicable, please state their type in the same order in which you reported the exposure in the field 'subject exposure'. example: backyard flock; confined animal feeding operation",N/A,TEXT_FIELD,optional,optional,backyard flock; confined animal feeding operation,"Free text, multiple values seperated by semicolon. If there are multiple values in Subject Exposure field add equally may fields here in the same order as Subject Exposure(!)",text,unique,N/A,metadata,no ,N/A
0ez,vaccine_dosage,Vaccine Dosage,Dosage of the vaccine taken by the host. example: 0.05 ml,float,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,vaccine dosage,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Dosage of the vaccine taken by the subject. example: 0.05 ml,N/A,N/A,N/A,N/A,N/A,optional,optional,0.05 ml,Decimal number value followed by an empty space and the unit(!),text,freetext,N/A,metadata,no ,N/A
0fa,vaccine_lot_number,Vaccine Lot Number,Lot number of the vaccine.,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,vaccine lot number,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,not sure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Lot number of the vaccine.,N/A,N/A,N/A,N/A,N/A,optional,optional,N/A,Free text,text,freetext,N/A,metadata,no ,N/A
0fb,vaccine_manufacturer,Vaccine Manufacturer,Manufacturer of the vaccine.,text,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,vaccine manufacturer,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,not sure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Manufacturer of the vaccine.,N/A,N/A,N/A,N/A,N/A,optional,optional,N/A,Free text,text,freetext,N/A,metadata,no ,N/A
0fc,who_oie_fao_clade_required_for_hpai_h5n1_viruses,WHO/OIE/FAO Clade (Required for HPAI H5N1 Viruses),WHO/OIE/FAO clade should be included for highly pathogenic h5n1 viruses. example: 2.2,text,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,WHO/OIE/FAO clade (required for HPAI H5N1 viruses),N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Who/oie/fao clade should be included for highly pathogenic h5n1 viruses. example: 2.2,N/A,N/A,N/A,N/A,N/A,optional,optional,2.2,Free text,text,freetext,N/A,metadata,no ,N/A
0fd,virus_old_names,Virus Old Names,Collection of outdated names for a particular virus.,text,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sample,Clinical ,N/A,"['Sample', 'Clinical ']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,metadata,no ,N/A
0fe,sequence_byte_range,Sequence Byte Range,Byte range data of the sample in the sequence file without the header,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal,N/A,Workflows,"['Internal', 'Workflows']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,metadata,no ,N/A
0ff,sequence_path,Sequence Path,The file location of the multiseq fasta file including the parent folder name ,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal,N/A,Workflows,"['Internal', 'Workflows']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,metadata,no ,N/A
0fg,insertion_date,Insertion Date,Date of the insertion into the VirJen database,date,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal,N/A,Workflows,"['Internal', 'Workflows']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,metadata,no ,N/A
0fh,update_date,Update Date,The last date the metadata was updated in the VirJen database.,date,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal,N/A,Workflows,"['Internal', 'Workflows']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,metadata,range,N/A
0fj,ictv_subrealm,ICTV Subrealm,A 'Subrealm' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.,text,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ictv_subrealm,N/A,N/A,N/A,N/A,Taxonomy,Virus Taxonomy,ICTV Taxonomy,"['PHD', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']",ICTV,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Subrealm,taxonomy,exact ,N/A
0fl,ictv_subkingdom,ICTV Subkingdom,A 'Subkingdom' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.,text,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ictv_subkingdom,N/A,N/A,N/A,N/A,Taxonomy,Virus Taxonomy,ICTV Taxonomy,"['PHD', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']",ICTV,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Subkingdom,taxonomy,exact ,N/A
0fp,ictv_subclass,ICTV Subclass,A 'Subclass' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.,text,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ictv_subclass,N/A,N/A,N/A,N/A,Taxonomy,Virus Taxonomy,ICTV Taxonomy,"['PHD', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']",ICTV,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Subclass,taxonomy,exact ,N/A
0fy,ncbi_subrealm,NCBI Subrealm,A 'Subrealm' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.,text,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ncbi_subrealm,N/A,N/A,N/A,N/A,Taxonomy,Virus Taxonomy,NCBI Taxonomy,"['PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,metadata,exact ,N/A
0ga,ncbi_subkingdom,NCBI Subkingdom,A 'Subkingdom' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.,text,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ncbi_subkingdom,N/A,N/A,N/A,N/A,Taxonomy,Virus Taxonomy,NCBI Taxonomy,"['PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,metadata,exact ,N/A
0ge,ncbi_subclass,NCBI Subclass,A 'Subclass' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.,text,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ncbi_subclass,N/A,N/A,N/A,N/A,Taxonomy,Virus Taxonomy,NCBI Taxonomy,"['PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,metadata,exact ,N/A
0gq,host_age_normalized,Host Age Normalized,"Host Ages in a uniform unit, TBD",integer,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Host,Clinical ,N/A,"['Host', 'Clinical ']",VJDB,"Use for sorting by host age, and relevant for plotting; not sure",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,metadata,range,N/A
0gs,lab_passaged,Lab Passaged,"Indicator that sequences came from samples from a laboratory setting, and not from a wild host.",integer,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sample,Virus Info,N/A,"['Sample', 'Virus Info']",NCBI Virus,not sure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,metadata,no ,N/A
0gx,viralzone_page,ViralZone Page,There is one page in Viralzone associated to this Taxon ID.,integer,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Source,Flags,N/A,"['Source', 'Flags']",ViralZone,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,metadata,no ,N/A
0gz,ictv_id,ICTV ID,ICTV ID from Master_Species_List file,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Source,Flags,ICTV Taxonomy,"['Source', 'Flags', 'ICTV Taxonomy']",ICTV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ICTV_ID,metadata,exact,N/A
0ha,ictv_virus_name,ICTV Virus name,Commonly used virus name (or names separated by a semi-colon).,text,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Taxonomy,Virus Info,ICTV Taxonomy,"['Taxonomy', 'Virus Info', 'ICTV Taxonomy']",ICTV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Virus name(s),metadata,exact fuzzy,default search
0hc,taxonomy_tree_hash,Taxonomy Tree Hash,Hash ontent for the rank in the taxonomy tree.,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal,N/A,Workflows,"['Internal', 'Workflows']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,metadata,no ,N/A
0hd,current_virjen_version,Current VirJen Version,A flag that indicates if the record is the latest update in VirJenDB database,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal,N/A,Workflows,"['Internal', 'Workflows']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,metadata,no ,N/A
0he,updated_fields,Updated Fields,List of VirJenDB metadata fields and their content when they are updated in each release in compare to the previous version,date,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal,N/A,Workflows,"['Internal', 'Workflows']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,metadata,no ,N/A
0hh,genome_sequence,Genome Sequence,Virus genome sequence,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal,N/A,Workflows,"['Internal', 'Workflows']",NCBI Virus|BVBRC|GTDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sequence,no ,N/A
0hi,genome_sequence_hash,Genome Sequence Hash,VIrus genome sequence hash SHA256,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal,N/A,Workflows,"['Internal', 'Workflows']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sequence,no ,N/A
