vjdbv1.0_field_id,vjdbv1.0_name,vjdbv1.0_description,vjdbv1.0_fields_type,rki_field_id,migs-vi_field_id,migs-uvig_field_id,ncbi_virus_n_nucleotide_field_id,bv-brc_b_field_name,ena_erc32_field_name,ena_erc33_field_name,img/vr_field_name,phd_field_name,phispy_field_name,gtdb_field_name,vjdbv1.0_tags,vjdbv1.0_input_source,vjdbv1.0_notes,vjdbv1.0_changes,ncbi_virus_n_field_description,ncbi_virus_n_type,ncbi_virus_n_curation_notes,bv-brc_b_category,bv-brc_b_schema_category,bv-brc_b_field_id,bv-brc_b_field_type,bv-brc_b_type,bv-brc_b_curation_notes,ena_erc32_field_description,ena_erc32_controlled_vocabulary,ena_erc32_field_type,ena_erc33_field_description,ena_erc33_controlled_vocabulary,ena_erc33_field_type,vjdb_example,ictv40_i_field_name
viralzone_page,ViralZone Page,There is one page in Viralzone associated to this Taxon ID.,integer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Source', 'Flags']",ViralZone,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ictv_id,ICTV ID,ICTV ID from Master_Species_List file,keyword,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Source', 'Flags', 'ICTV Taxonomy']",ICTV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ICTV_ID
ictv_virus_name,ICTV Virus name,Commonly used virus name (or names separated by a semi-colon).,text,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Taxonomy', 'Virus Info', 'ICTV Taxonomy']",ICTV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Virus name(s)
taxonomy_tree_hash,Taxonomy Tree Hash,Hash ontent for the rank in the taxonomy tree.,keyword,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Internal', 'Workflows']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
current_virjen_version,Current VirJen Version,A flag that indicates if the record is the latest update in VirJenDB database,keyword,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Internal', 'Workflows']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
updated_fields,Updated Fields,List of VirJenDB metadata fields and their content when they are updated in each release in compare to the previous version,date,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Internal', 'Workflows']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
genome_sequence,Genome Sequence,Virus genome sequence,keyword,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Internal', 'Workflows']",NCBI Virus|BVBRC|GTDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
genome_sequence_hash,Genome Sequence Hash,VIrus genome sequence hash SHA256,keyword,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Internal', 'Workflows']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
host_assembly_program,Host Assembly Program,The program used for host genome assembly.,text,N/A,N/A,N/A,N/A,N/A,N/A,N/A,host_assembly_program,N/A,host_assembly_program,N/A,"['IMG/VR', 'PhiSpy', 'Host', 'Workflows']",IMG/VR|PhiSpy|PhD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
phage_id,phage id,phage id internal identifier,integer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,phage_id,phage_id,phage_id,N/A,"['IMG/VR', 'PHD', 'PhiSpy', 'Internal', 'Virus Info']",VJDB,"From Malte's dataset, deprecated (VirJenDB Accession as new Identifier), soon to be removed",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ictv_lineage_hash_list,ICTV Lineage Hash List ,The list of the hash for the lineage of the rank in the ICTV VMR.,integer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Internal', 'Workflows']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
parent_hash,Parent Hash,Taxonomy Table Hash ID of the Parent Rank,keyword,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Internal', 'Workflows']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
rank_hash,Rank Hash,Taxonomy Table Hash ID of the Rank,keyword,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Internal', 'Workflows']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ictv_rank_name,ICTV Rank Name,ICTV Rank Name,text,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Internal', 'Workflows']",ICTV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ictv_rank_type,ICTV Rank Type,ICTV Rank Type,keyword,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Internal', 'Workflows']",ICTV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
imgvr_uvig_id,IMGVR UVIG ID,IMGVR UVIG ID,keyword,N/A,N/A,N/A,N/A,N/A,N/A,N/A,imgvr_uvig_id,N/A,N/A,N/A,"['IMG/VR', 'Host', 'Identifier']",IMG/VR|PhiSpy|PhD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
coding_strand,Coding Strand,True if the current virus sequence is a coding strand. Calculated by part of the ViralClust tool suite. Only intended for ssRNA viruses.,keyword,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Analysis', 'Flags', 'Workflows']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,N/A
host_confidence_score,Host Confidence Score,"Confidence score associated with the method by which ""Host Accession ID"" from NCBI GenBank or or ""NCBI Taxonomy Lineage"" was associated to the virus sequence. Multiple host associations/predictions separated by semicolons. ",float,N/A,N/A,N/A,N/A,N/A,N/A,N/A,host_insdc_accession_id,N/A,host_insdc_accession_id,N/A,"['IMG/VR', 'PhiSpy', 'Host', 'Workflows']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
checkv_contig_length,CheckV Contig Length,Length of the sequence as calculated by CheckV v1.0.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master,integer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Analysis', 'Workflows']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
checkv_provirus,CheckV Provirus,Prediction of whether the sequence is a provirus by CheckV v1.0.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master,keyword,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Analysis', 'Workflows']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
checkv_proviral_length,CheckV Proviral Length,"If the sequence is predicated as a provirus, the length ofthe provirus, calculated by CheckV v1.0.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master",integer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Analysis', 'Workflows']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
checkv_gene_count,CheckV Gene Count,The number of genes in the virus sequence as calculated by CheckV v1.0.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master,integer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Analysis', 'Workflows']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
checkv_viral_genes,CheckV Viral Genes,The number of virus genes in the virus sequence as calculated by CheckV v1.0.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master,keyword,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Analysis', 'Workflows']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
checkv_host_genes,CheckV Host Genes,The number of host genes as calculated by CheckV v1.0.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master,text,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Analysis', 'Workflows']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
checkv_quality,CheckV Quality,"Quality tier of the virus genome as noted by CheckV v1.0.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master 
Possible values:
Complete
High-quality (>90% completeness)
Medium-quality (50-90% completeness)
Low-quality (<50% completeness)
Undetermined quality",keyword,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Analysis', 'Workflows']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
checkv_miuvig_quality,CheckV MIUVIG Quality,MIUVIG quality as noted by CheckV v1.0.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master,keyword,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Analysis', 'Workflows']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
checkv_completeness,CheckV Completeness,Completeness of the virus genome sequenceas calculated by CheckV v1.0.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master,keyword,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Analysis', 'Workflows']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
checkv_completeness_method,CheckV Completeness Method,Method of determining the completeness of the virus genome sequence as calculated by CheckV v1.0.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master,text,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Analysis', 'Workflows']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
checkv_contamination,CheckV Contamination,Amount of virus genome sequence contamination as calculated by CheckV v1.0.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master,keyword,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Analysis', 'Workflows']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
checkv_kmer_freq,CheckV Kmer Freq,Number of times the virus genome was found in the as calculated by CheckV v1.0.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master,keyword,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Analysis', 'Workflows']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
checkv_warnings,CheckV Warnings,Warnings generated by running CheckV v1.0.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master,keyword,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Analysis', 'Workflows']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
length_coverage,Length Coverage,Percentage of Ns within the whole sequence from BVBRC.,integer,N/A,compl_score; only half of the definition is used,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['MIGS-VI', 'Internal', 'Sequence']",no source,not sure,remove; change the name and id: sequence_perc_N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
number_of_contigs,Number of Contigs,Number of contigs in the sequence.,integer,N/A,number_contig,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['MIGS-VI', 'Internal', 'Sequence']",no source,N/A,remove,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1;13,N/A
sequence_version,Sequence Version,Version of the sequence (whole entry).,keyword,SEQUENCE.VERSION,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['RKI', 'Internal', 'Sequence']",no source,not sure,remove,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sequencing_reason,Sequencing Reason,Why was the collected sample sequenced?,keyword,SEQUENCE. SEQUENCING_REASON; different vocabulary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['ENA', 'RKI', 'Internal', 'Workflows']",no source,not sure,remove,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
assembly_level,Assembly Level,"The level of the Assembly (contig, scaffold, chromosome, complete genome).",keyword,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['ENA', 'Internal', 'ENA Analysis', 'VJDB Analysis', 'Workflows']",N/A,"apply customization to vjdb , e.g. chromosome to genome or something; input not yet defined",keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
min_gap_length,Min Gap Length,Minimum length of consecutive Ns to be considered a gap.,integer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['ENA', 'Internal', 'ENA Analysis', 'VJDB Analysis', 'Workflows']",N/A,not sure,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
assembly_program,Assembly Program,The program used for genome assembly.,keyword,N/A,assembly_software,N/A,N/A,Assembly Method,N/A,N/A,N/A,N/A,N/A,N/A,"['ENA', 'MIGS-VI', 'BV-BRC', 'Internal', 'ENA Analysis', 'VJDB Analysis', 'Workflows']",BVBRC,N/A,keep internally,N/A,N/A,N/A,Sequence Info,N/A,assembly_method,string_ci,N/A,not in the bvbrc api,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
assembly_type,Assembly Type,Identifier on how to treat the submitted assembly. Currently only assemblies from ‘clone or isolate’ are permitted.,keyword,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['ENA', 'Internal', 'ENA Analysis', 'VJDB Analysis', 'Workflows']",N/A,"for submission this is always ""clone or isolate""; ",keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,clone or isolate,N/A
lab_host_common_name,Lab Host Common Name,"BVBRC Lab Host, common name of the lab host.",text,N/A,N/A,N/A,N/A,Lab Host,N/A,N/A,N/A,N/A,N/A,N/A,"['BV-BRC', 'Host', 'Host Info']",BVBRC,"remove? Lab Passage 1 to 1 in public and rest in private for submission, because Lab Passaged is buil on ""/labhost"", to catch this we provide these fields; not sure",host_lab_common_name,N/A,N/A,N/A,Host Info,N/A,lab_host,string_ci,N/A,new,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
lab_host_ncbi_tax_id,Lab Host NCBI Tax ID,The NCBI Taxonomy ID of the lab host.,keyword,N/A,specific_host,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['MIGS-VI', 'Host', 'Identifiers']",N/A,remove?; not sure,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
lab_host_species,Lab Host Species,The scientific species name of the lab host.,text,N/A,specific_host,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['ENA', 'MIGS-VI', 'Host', 'Host Info']",N/A,remove?; not sure,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
file_format,File Format,The run data file model.,keyword,N/A,N/A,N/A,N/A,N/A,file_format,file_format,N/A,N/A,N/A,N/A,"['ENA ERC32', 'ENA ERC33', 'Internal', 'ENA Run', 'VJDB Run', 'Workflows']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) The run data file model.,N/A,N/A,(Mandatory) The run data file model.,N/A,TEXT_CHOICE_FIELD,N/A,N/A
file_name,File Name,The name or relative pathname of a run data file.,text,N/A,N/A,N/A,N/A,N/A,file_name,file_name,N/A,N/A,N/A,N/A,"['ENA ERC32', 'ENA ERC33', 'Internal', 'ENA Run', 'VJDB Run', 'Workflows']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) The name or relative pathname of a run data file.,N/A,N/A,(Mandatory) The name or relative pathname of a run data file.,N/A,TEXT_FIELD,N/A,N/A
host_age,Host Age,Host age given by a number. Is connected to Host Age Unit. The number should match the unit. E.g. 2 years,integer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Internal', 'Clinical ']",no source,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37,N/A
host_age_unit,Host Age Unit,"Unit that describes the host age. Is connected to Host Age. Should fit the number, e.g. 2 years",integer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Host', 'Clinical']",no source,"These two private for submission, one field for public where it is combined and one for normalized values (also for filtering); ",remove,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,days; years,N/A
analysis_title,Analysis Title,Clear and useful title to identify the analysis of your sequencing experiment. This title will not be submitted to the ENA on submission.,text,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Internal', 'VJDB Analysis', 'Workflows']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
insdc_accession,INSDC Accession,"GenBank Accession of the virus sequence. It equals NCBI Accession, ENA Accession, and DDBJ Accession, which are part of the INSDC.",keyword,N/A,N/A,N/A,Accession,GenBank Accessions,N/A,N/A,N/A,insdc_accession_id,N/A,N/A,"['NCBI Virus', 'BV-BRC', 'PHD', 'Organizational', 'Identifiers']",NCBI Virus|BVBRC,no example needed,N/A,"A unique identifier (Nucleotide, Protein or Assembly Accession, depending on the selected tab) assigned to the sequence record in GenBank.",N/A,N/A,DB Cross Reference,N/A,genbank_accessions,string_ci,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
assembly_accession,Assembly Accession,NCBI Assembly Accession of the virus sequence.,keyword,N/A,N/A,N/A,Assembly,Assembly Accession,N/A,N/A,N/A,assembly_accession_id,N/A,N/A,"['NCBI Virus', 'BV-BRC', 'PHD', 'Organizational', 'ENA Analysis', 'VJDB Analysis', 'Identifiers']",NCBI Virus|BVBRC,no example needed,N/A,"NCBI Virus Assembly accession number. For more information about NCBI Virus assembly, see Data Model, Type of Data and Dataflow section.",N/A,N/A,DB Cross Reference,N/A,assembly_accession,string,N/A,without version,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
bioproject_accession,Bioproject Accession,References the BioProject Accession that the virus sequence is a part of (INSDC). ,keyword,N/A,N/A,N/A,BioProject,BioProject Accession,N/A,N/A,N/A,N/A,N/A,N/A,"['ENA', 'NCBI Virus', 'BV-BRC', 'Organizational', 'ENA Study', 'Identifiers']",NCBI Virus|BVBRC,no example needed,N/A,The BioProject accession number associated with the sequence.,N/A,N/A,DB Cross Reference,N/A,bioproject_accession,string,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
biosample_accession,Biosample Accession,References the BioSample Accession that the virus sequence is a part of (INSDC).,keyword,N/A,source_mat_id?,N/A,BioSample,BioSample Accession,N/A,N/A,N/A,N/A,N/A,N/A,"['ENA', 'MIGS-VI', 'NCBI Virus', 'BV-BRC', 'Organizational', 'ENA Sample', 'VJDB Sample', 'Identifiers']",NCBI Virus|BVBRC,no example needed,N/A,The BioSample accession number associated with the sequence.,N/A,N/A,DB Cross Reference,N/A,biosample_accession,string,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
collection_date,Collection Date,Date when the sample the virus sequence originates from was collected or sampled.,date,SEQUENCE. DATE_OF_SAMPLING,collection_date; has intervall,N/A,Collection_Date,Collection Date,collection date,collection date,N/A,N/A,N/A,N/A,"['ENA', 'RKI', 'MIGS-VI', 'NCBI Virus', 'BV-BRC', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Collection']",NCBI Virus|BVBRC,"would be ""Date"" but to make distinction as there are multiple dates; ",N/A,The date when the virus sample was collected.,N/A,N/A,Isolate Info,Isolation Metadata,collection_date,string,N/A,N/A,"(Mandatory) The date the sample was collected with the intention of sequencing, either as an instance (single point in time) or interval. in case no exact time is available, the date/time can be right truncated i.e. all of these are valid iso8601 compliant times: 2008-01-23t19:23:10+00:00; 2008-01-23t19:23:10; 2008-01-23; 2008-01; 2008.",N/A,N/A,"(Mandatory) The date the sample was collected with the intention of sequencing, either as an instance (single point in time) or interval. in case no exact time is available, the date/time can be right truncated i.e. all of these are valid iso8601 compliant times: 2008-01-23t19:23:10+00:00; 2008-01-23t19:23:10; 2008-01-23; 2008-01; 2008.",N/A,TEXT_FIELD,2023-05-28,N/A
country,Country,Country or sea area where the sample the virus sequence originates from was collected or sampled.,integer,N/A,geo_loc_name,N/A,Country,Isolation Country,geographic location (country and/or sea),geographic location (country and/or sea),N/A,N/A,N/A,N/A,"['ENA', 'MIGS-VI', 'NCBI Virus', 'BV-BRC', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Collection']",NCBI Virus|BVBRC,N/A,N/A,The country of specimen collection.,N/A,"split Geo_Location and compare to collection_country , ingest to collection_region and collection_city",Isolate Info,Isolation Metadata,isolation_country,string_ci,N/A,N/A,"(Mandatory) The geographical origin of where the sample was collected from, with the intention of sequencing, as defined by the country or sea name. country or sea names should be chosen from the insdc country list (http://insdc.org/country.html).",N/A,N/A,"(Mandatory) The location the sample was collected from with the intention of sequencing, as defined by the country or sea. country or sea names should be chosen from the insdc country list (http://insdc.org/country.html).",N/A,TEXT_CHOICE_FIELD,Germany,N/A
genbank_sequence,GenBank Sequence,Determines if this virus sequence is available in Genbank.,keyword,N/A,N/A,N/A,GenBank_RefSeq,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['NCBI Virus', 'Source', 'Flags']",NCBI Virus,N/A,N/A,Specifies if the sequence is from GenBank or RefSeq database.,N/A,convert GenBank/RefSeq input to boolean,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,N/A
refseq_sequence,RefSeq Sequence,Determines if this virus sequence is a reference sequence in the RefSeq database.,keyword,N/A,N/A,N/A,GenBank_RefSeq,Reference,N/A,N/A,N/A,N/A,N/A,N/A,"['NCBI Virus', 'BV-BRC', 'Source', 'Flags']",NCBI Virus|BVBRC,N/A,N/A,Specifies if the sequence is from GenBank or RefSeq database.,N/A,convert GenBank/RefSeq input to boolean,Type Info,N/A,reference_genome,string,N/A,"if reference sequence, value = ""Reference""",N/A,N/A,N/A,N/A,N/A,N/A,true,N/A
collection_geo_location,Collection Geo Location,Country name and additional identifier like a state abbreviation from where the sample the sequence originates from was collected/sampled.,text,N/A,N/A,N/A,Geo_Location,Geographic Location,geographic location (region and locality),geographic location (region and locality),N/A,N/A,N/A,N/A,"['NCBI Virus', 'BV-BRC', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Collection']",NCBI Virus|BVBRC,shown until further revised; ,N/A,"The geographic location where the virus was isolated. NCBI Virus relies solely on the information provided by submitters, which may sometimes mistakenly identify regions where sequences were processed instead of the actual collection locations. The granularity of the information displayed in the column depends on the submitter. For example, it can be ""Australia: Heron Island, Great Barrier Reef"", or just ""China"". The country and other geographic location names are based on the INSDC Geographic Location list.",N/A,"split Geo_Location and compare to collection_country , ingest to collection_region and collection_city",Isolate Info,Isolation Metadata,geographic_location,string_ci,N/A,N/A,(Recommended) The geographical origin of the sample as defined by the specific region name followed by the locality name.,N/A,N/A,(Recommended) The geographical origin of the sample as defined by the specific region name followed by the locality name.,N/A,TEXT_FIELD,USA: NY ,N/A
