vjdbv0.3_field_id,vjdbv0.3_name,vjdbv0.3_description,vjdbv0.3_fields_type,vjdbv0.3_privacy,vjdbv0.2__field_id,vjdbv0.1_field_id,ena_field_id,rki_field_id,migs-vi_field_id,migs-uvig_field_id,env-o_field_id,ncbi_virus_n_nucleotide_field_id,bv-brc_b_field_name,ena_erc32_field_name,ena_erc33_field_name,img/vr_field_name,phd_field_name,phispy_field_name,gtdb_field_name,ena_submission_object_object_name,vjbd_submission_object_object_name,vjdbv0.3_group1,vjdbv0.3_group2,vjdbv0.3_group3,vjdbv0.3_tags,vjdbv0.3_input_source,vjdbv0.3_notes,vjdbv0.3_changes,vjdbv0.2_previous_changes,ncbi_virus_n_field_name,ncbi_virus_n_field_description,ncbi_virus_n_type,ncbi_virus_n_curation_notes,bv-brc_b_category,bv-brc_b_schema_category,bv-brc_b_field_id,bv-brc_b_field_type,bv-brc_b_type,bv-brc_b_curation_notes,ena_erc32_field_description,ena_erc32_controlled_vocabulary,ena_erc32_field_type,ena_erc33_field_description,ena_erc33_controlled_vocabulary,ena_erc33_field_type,ena_submission_requiredness,vjdb_submission_requiredness,vjdb_example,vjdb_validation_rules,ena_submission_fieldtype,ena_submission_validation,vjdbv0.3_field_index,ictv40_i_field_name,vjdbv0.3_index,vjdbv0.3_search_method,vjdbv0.3_default_search
sample_serotype,Serotype,"Serological variety of a species characterised by its antigenic properties, e.g. H1N1.",keyword,internal,sample_serotype,variant,serotype,N/A,subspecf_gen_lin; broad field,N/A,N/A,N/A,N/A,serotype (required for a seropositive sample),serotype (required for a seropositive sample),N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical,N/A,"['ENA', 'MIGS-VI', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical']",N/A,"NCBI Virus has genotype, which includes Serotype, otherwise we have no valid informational source -> internal for now; ",keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Recommended) Serological variety of a species characterised by its antigenic properties. for influenza, ha subtype should be the letter h followed by a number between 1-16 unless novel subtype is identified and the na subtype should be the letter n followed by a number between 1-9 unless novel subtype is identified. if only one of the subtypes have been tested then use the format h5nx or hxn1. example: h1n1",N/A,N/A,"(Recommended) Serological variety of a species characterised by its antigenic properties. for influenza, ha subtype should be the letter h followed by a number between 1-16 unless novel subtype is identified and the na subtype should be the letter n followed by a number between 1-9 unless novel subtype is identified. if only one of the subtypes have been tested then use the format h5nx or hxn1. example: h1n1",N/A,TEXT_FIELD,recommended,recommended,H1N1,Free text,suggestion,freetext,0cm,N/A,metadata,full fuzzy,N/A
sample_species_name_abbreviation,Abbreviation,Common abbreviations of the virus species name.,keyword,internal,sample_species_name_abbreviation,abbreviation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sample,Virus Info,ICTV Taxonomy,"['Sample', 'Virus Info', 'ICTV Taxonomy']",ICTV,N/A,tbd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HPV,"Free text, common virus name abbreviations were collected by the ICTV",suggestion,freetext,0cn,Virus name abbreviation(s),metadata | taxonomy,exact,default search
sample_species_tax_id,Sample Species Tax ID,temprory NCBI Tax ID used for mapping taxonoly tree to metadata table,keyword,internal,sample_species_tax_id,tree_rank_txid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sample,Identifiers,NCBI Taxonomy,"['Sample', 'Identifiers', 'NCBI Taxonomy']",NCBI Taxonomy,"No mapping, seems to  be NCBI Tax ID; not sure",tbd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,suggestion,freetext,0co,N/A,metadata,no search,N/A
sequence_average_depth_coverage,Average Depth,Average sequencing depth across the sequence from BVBRC.,float,public,sequence_average_depth_coverage,N/A,sequence_coverage,N/A,N/A,N/A,N/A,N/A,Sequencing Depth,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Analysis,Sequence,Workflows,"['ENA', 'BV-BRC', 'Analysis', 'Sequence', 'Workflows']",BVBRC,N/A,N/A,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,Sequence Info,N/A,sequencing_depth,string_ci,N/A,average,N/A,N/A,N/A,N/A,N/A,N/A,mandatory,mandatory,12.0x,Decimal number value followed by an x(!),text,unique,0cp,N/A,metadata,range,N/A
sequence_gc_content,GC Content,Percentage of G and C nucleotides in the sequence from BVBRC.,float,public,sequence_gc_content,sequence_gc_content,N/A,N/A,N/A,N/A,N/A,N/A,GC Content,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Analysis,Sequence,Workflows,"['BV-BRC', 'Analysis', 'Sequence', 'Workflows']",BVBRC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Genome Statistics,Genome Statistics,gc_content,float,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.355248,"Decimal number value, describes a percentage(!)",text,freetext,0cq,N/A,metadata,range,N/A
sequence_length_coverage,Length Coverage,Percentage of Ns within the whole sequence.,float,N/A,sequence_length_coverage,N/A,N/A,N/A,compl_score; only half of the definition is used,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal,Sequence,N/A,"['MIGS-VI', 'Internal', 'Sequence']",no source,not sure,remove; change the name and id: sequence_perc_N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,freetext,0cr,N/A,metadata,range,N/A
sequence_name,Sequence Name,Generic name of the sequence (Name of the entry).,keyword,internal,sequence_name,sample_name,N/A,N/A,assembly_name,N/A,N/A,N/A,Genome Name,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Analysis,N/A,Workflows,"['MIGS-VI', 'BV-BRC', 'Analysis', 'Workflows']",BVBRC,no example needed,change to BVBRC_genome_name,N/A,N/A,N/A,N/A,N/A,General Info,N/A,genome_name,string_ci,N/A,change name; keep private; compare to Organism Name from NCBI Virus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,freetext,0cs,N/A,metadata,full,default search
sequence_number_of_contigs,Number of Contigs,Number of contigs in the sequence.,integer,N/A,sequence_number_of_contigs,number_of_contigs,N/A,N/A,number_contig,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal,Sequence,N/A,"['MIGS-VI', 'Internal', 'Sequence']",no source,N/A,remove,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1;13,Whole number value(!),text,freetext,0ct,N/A,metadata,range,N/A
sequence_publication_doi,Publication DOI,The doi of the sequences publication paper.,keyword,internal,sequence_publication_doi,publication_doi,N/A,N/A,associated_resource,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Organizational,Identifiers,N/A,"['MIGS-VI', 'Organizational', 'Identifiers']",no source,needs curation before public; ,remove,"Not public in VJDB, but is already in database",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.1000/182,N/A,text,freetext,0cu,N/A,metadata,exact,N/A
sequence_pubmed_id,Pubmed Accession,The pubmed ID of the sequences publication paper.,keyword,internal,sequence_pubmed_id,pmid,N/A,N/A,associated_resource,N/A,N/A,N/A,Publication,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Organizational,Identifiers,N/A,"['MIGS-VI', 'BV-BRC', 'Organizational', 'Identifiers']",BVBRC,needs curation before public; no example needed,N/A,N/A,N/A,N/A,N/A,N/A,DB Cross Reference,N/A,publication,string,N/A,multiple; to curate (compare with the number of pubs with ncbi virus),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,freetext,0cv,N/A,metadata,exact,N/A
sequence_update_date,Update Date,Last update date of the sequence in BVBRC (whole entry).,date,internal,sequence_update_date,update_date,N/A,N/A,N/A,N/A,N/A,N/A,Date Modified,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Organizational,N/A,Workflows,"['BV-BRC', 'Organizational', 'Workflows']",BVBRC,N/A,update definition: last update date of the record in bvbrc),"Not public in VJDB, but is already in database",N/A,N/A,N/A,N/A,Additional Info,N/A,date_modified,pdate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-05-20,"YYYY-MM-DD; Some browsers can display dates in a different format, but it is still correct(!)",date,freetext,0cw,N/A,metadata,range,N/A
sequence_version,Sequence Version,Version of the sequence (whole entry).,float,N/A,sequence_version,sample_version,N/A,SEQUENCE.VERSION,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal,Sequence,N/A,"['RKI', 'Internal', 'Sequence']",no source,not sure,remove,"Not public in VJDB, but is already in database",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,freetext,0cx,N/A,metadata,exact,N/A
sequencing_center,Sequencing Center,Institution that sequenced the collected sample.,keyword,public,sequencing_center,sequencing_center,N/A,N/A,N/A,N/A,N/A,N/A,Sequencing Center,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Organizational,Sequence,Workflows,"['BV-BRC', 'Organizational', 'Sequence', 'Workflows']",BVBRC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sequence Info,N/A,sequencing_centers,string_ci,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,US Food and Drug Administration,Free text,text,freetext,0cy,N/A,metadata,full fuzzy,N/A
sequencing_insert_size,Insert Size,Insert size for paired reads.,integer,internal,sequencing_insert_size,N/A,insert size,N/A,N/A,N/A,N/A,N/A,N/A,insert_size,insert_size,N/A,N/A,N/A,N/A,ENA Experiment,VJDB Experiment,Analysis,N/A,Workflows,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']",N/A,not sure,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Insert size for paired reads,N/A,N/A,(Optional) Insert size for paired reads,N/A,TEXT_FIELD,optional,optional,N/A,N/A,text,freetext,0cz,N/A,metadata,range,N/A
sequencing_instrument,Instrument,Instrument model used for sequencing.,keyword,internal,sequencing_instrument,N/A,instrument model,N/A,seq_meth,N/A,N/A,N/A,N/A,instrument_model,instrument_model,N/A,N/A,N/A,N/A,ENA Experiment,VJDB Experiment,Analysis,N/A,Workflows,"['ENA', 'MIGS-VI', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) Model of the sequencing instrument.,N/A,N/A,(Mandatory) Model of the sequencing instrument.,N/A,TEXT_CHOICE_FIELD,mandatory,mandatory,AB 310 Genetic Analyzer,"Defined list of values, provided by the ENA",combo,controlled_vocabulary,0da,N/A,metadata,exact fuzzy,N/A
sequencing_library_construction_protocol,Library Construction Protocol,The protocol used to construct the sequencing library.,keyword,internal,sequencing_library_construction_protocol,N/A,library construction protocol,N/A,N/A,N/A,N/A,N/A,N/A,library_construction_protocol,library_construction_protocol,N/A,N/A,N/A,N/A,ENA Experiment,VJDB Experiment,Analysis,N/A,Workflows,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']",N/A,not sure,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Free form text describing the protocol by which the sequencing library was constructed.,N/A,N/A,(Optional) Free form text describing the protocol by which the sequencing library was constructed.,N/A,TEXT_FIELD,optional,optional,N/A,Free text,text,freetext,0db,N/A,metadata,full fuzzy,N/A
sequencing_library_description,Library Description,The design of the sequencing library including details of how it was constructed.,keyword,internal,sequencing_library_description,N/A,design_description,N/A,N/A,N/A,N/A,N/A,N/A,design_description,design_description,N/A,N/A,N/A,N/A,ENA Experiment,VJDB Experiment,Analysis,N/A,Workflows,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']",N/A,not sure,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) Goal and setup of the individual library including library was constructed.,N/A,N/A,(Optional) Goal and setup of the individual library including library was constructed.,N/A,TEXT_AREA_FIELD,optional,optional,N/A,Free text,text,freetext,0dc,N/A,metadata,full fuzzy,N/A
sequencing_library_layout,Library Layout,The sequencing library layout specifies whether to expect single or paired configuration of reads.,keyword,internal,sequencing_library_layout,N/A,library_layout,N/A,lib_layout,N/A,N/A,N/A,N/A,library_layout,library_layout,N/A,N/A,N/A,N/A,ENA Experiment,VJDB Experiment,Analysis,N/A,Workflows,"['ENA', 'MIGS-VI', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Mandatory) Library_layout specifies whether to expect single, paired, or other configuration of reads. in the case of paired reads, information about the relative distance and orientation is specified.",N/A,N/A,"(Mandatory) Library_layout specifies whether to expect single, paired, or other configuration of reads. in the case of paired reads, information about the relative distance and orientation is specified.",N/A,TEXT_FIELD,mandatory,mandatory,SINGLE,"Defined list of values, provided by the ENA",combo,controlled_vocabulary,0dd,N/A,metadata,exact fuzzy,N/A
sequencing_library_name,Library Name,The name for the sequencing library if any.,keyword,internal,sequencing_library_name,N/A,library name,N/A,N/A,N/A,N/A,N/A,N/A,library_name,library_name,N/A,N/A,N/A,N/A,ENA Experiment,VJDB Experiment,Analysis,N/A,Workflows,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) The submitter's name for this library.,N/A,N/A,(Optional) The submitter's name for this library.,N/A,TEXT_FIELD,mandatory,mandatory,1111898265709,Free text,suggestion,freetext,0de,N/A,metadata,full fuzzy,N/A
sequencing_library_selection,Library Selection,"The method used to select for or against, enrich, or screen the material being sequenced.",keyword,internal,sequencing_library_selection,N/A,library selection,N/A,lib_screen,N/A,N/A,N/A,N/A,library_selection,library_selection,N/A,N/A,N/A,N/A,ENA Experiment,VJDB Experiment,Analysis,N/A,Workflows,"['ENA', 'MIGS-VI', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) Method used to enrich the target in the sequence library preparation,N/A,N/A,(Mandatory) Method used to enrich the target in the sequence library preparation,N/A,TEXT_CHOICE_FIELD,mandatory,mandatory,unspecified; RANDOM,"Defined list of values, provided by the ENA",combo,controlled_vocabulary,0df,N/A,metadata,exact fuzzy,N/A
sequencing_library_source,Library Source,The library source specifies the type of source material that is being sequenced.,keyword,internal,sequencing_library_source,N/A,library source,N/A,N/A,N/A,N/A,N/A,N/A,library_source,library_source,N/A,N/A,N/A,N/A,ENA Experiment,VJDB Experiment,Analysis,N/A,Workflows,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) The library_source specifies the type of source material that is being sequenced.,N/A,N/A,(Mandatory) The library_source specifies the type of source material that is being sequenced.,N/A,TEXT_CHOICE_FIELD,mandatory,mandatory,VIRAL RNA,"Defined list of values, provided by the ENA",combo,controlled_vocabulary,0dg,N/A,metadata,exact fuzzy,N/A
sequencing_library_strategy,Library Strategy,The sequencing technique intended for this sequencing library.,keyword,internal,sequencing_library_strategy,strategy?,library strategy,N/A,N/A,N/A,N/A,N/A,N/A,library_strategy,library_strategy,N/A,N/A,N/A,N/A,ENA Experiment,VJDB Experiment,Analysis,N/A,Workflows,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) Sequencing technique intended for this library.,N/A,N/A,(Mandatory) Sequencing technique intended for this library.,N/A,TEXT_CHOICE_FIELD,mandatory,mandatory,AMPLICON,"Defined list of values, provided by the ENA",combo,controlled_vocabulary,0dh,N/A,metadata,exact fuzzy,N/A
sequencing_platform,Platform,"Instrument platform used for sequencing, multiple are seperated (only for assemblies).",keyword,public,sequencing_platform,N/A,instrument platform,SEQUENCE. SEQUENCING_METHOD,N/A,N/A,N/A,N/A,Sequencing Platform,platform,platform,N/A,N/A,N/A,N/A,ENA Experiment,VJDB Experiment,Analysis,Sequence,Workflows,"['ENA', 'RKI', 'BV-BRC', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Sequence', 'Workflows']",BVBRC,N/A,N/A,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,Sequence Info,N/A,sequencing_platform,string_ci,N/A,N/A,(Mandatory) The platform record selects which sequencing platform and platform-specific runtime parameters. this will be determined by the center. optional if 'instrument_model' is provided.,N/A,N/A,(Mandatory) The platform record selects which sequencing platform and platform-specific runtime parameters. this will be determined by the center. optional if 'instrument_model' is provided.,N/A,TEXT_CHOICE_FIELD,mandatory,mandatory,CAPILLARY,"Defined list of values, provided by the ENA",combo,controlled_vocabulary,0di,N/A,metadata,exact fuzzy,N/A
sequencing_reason,Sequencing Reason,Why was the collected sample sequenced?,keyword,N/A,sequencing_reason,N/A,sample capture status,SEQUENCE. SEQUENCING_REASON; different vocabulary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal,N/A,Workflows,"['ENA', 'RKI', 'Internal', 'Workflows']",no source,not sure,remove,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,recommended,recommended,N/A,N/A,combo,controlled_vocabulary,0dj,N/A,metadata,exact fuzzy,N/A
source_metadata_db,Sequence Source,The name of the source database or tool of the virus sequence.,keyword,public,source_database_name,db_name,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Organizational,Source,N/A,"['Organizational', 'Source']",VJDB,not sure,"change id and name to source_metadata_db, update definition",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,combo,controlled_vocabulary,0dk,N/A,metadata,exact fuzzy,N/A
submitter_country,Submitter Country,Country of the submitter's organization.,keyword,public,submitter_country,N/A,N/A,N/A,N/A,N/A,N/A,Org_location,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VJDB Study,Sample,Submission,N/A,"['NCBI Virus', 'Sample', 'VJDB Study', 'Submission']",NCBI Virus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mandatory,Germany,"Defined list of countries, provided by the INSDC",combo,controlled_vocabulary,0dl,N/A,metadata,exact fuzzy,N/A
submitter_region,Submitter Region,Region or location of the organization of the submitters.,keyword,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sample,Submission,N/A,"['Sample', 'Submission']",NCBI Virus,not sure,split organization to submitter_region,N/A,N/A,N/A,N/A,may need to split Organization to submitter_region,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,combo,controlled_vocabulary,0dm,N/A,metadata,exact fuzzy,N/A
virjen_id,VirJenDB Accession,VirJenDB sequence ID of the virus sequence.,integer,public,virjen_id,"vj_id, sample id",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Organizational,Source,Identifiers,"['Organizational', 'Source', 'Identifiers']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10580360,Whole number value,text,freetext,0dn,N/A,metadata | sequence,exact,default search
virjen_version,VirJenDB Metadata Version,VirJenDB metadata version,integer,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Organizational,Source,N/A,"['Organizational', 'Source']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,freetext,0do,N/A,metadata,exact,N/A
virus_id,Virus ID,Unique ID given by the investigator as strain might not be unique.,N/A,internal,virus_id,wetlab_id?,virus identifier,SEQUENCE. SEQUENCING_ LAB_SAMPLE_ID maybe,N/A,N/A,N/A,N/A,N/A,virus identifier,virus identifier,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA', 'RKI', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,not sure,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Recommended) Unique laboratory identifier assigned to the virus by the investigator. strain name is not sufficient since it might not be unique due to various passsages of the same virus. format: up to 50 alphanumeric characters,N/A,N/A,(Recommended) Unique laboratory identifier assigned to the virus by the investigator. strain name is not sufficient since it might not be unique due to various passsages of the same virus. format: up to 50 alphanumeric characters,N/A,TEXT_FIELD,recommended,recommended,N/A,N/A,text,unique,0dp,N/A,metadata,exact,N/A
antiviral_treatment,Antiviral Treatment,"Antiviral treatment used for this subject, such as zanamavir oseltamivir, amantadine.",keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,antiviral treatment,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Host,Clinical ,N/A,"['ENA ERC32', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Optional) Antiviral treatment used for this subject, such as zanamavir oseltamivir, amantadine. example: rimantadine",N/A,N/A,N/A,N/A,N/A,optional,optional,rimantadine; amantadine,Free text,text,freetext,0dq,N/A,metadata,full fuzzy,N/A
antiviral_treatment_dosage,Antiviral Treatment Dosage,Dosage of the treatment taken by the subject. example: 0.05 mg.,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,antiviral treatment dosage,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Host,Clinical ,N/A,"['ENA ERC32', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Dosage of the treatment taken by the subject. example: 0.05 mg,N/A,N/A,N/A,N/A,N/A,optional,optional,0.05 mg,Decimal number value followed by an empty space and the unit(!),text,freetext,0dr,N/A,metadata,full,N/A
antiviral_treatment_duration,Antiviral Treatment Duration,Duration of antiviral treatment after onset of clinical symptoms in days.example: 5.,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,antiviral treatment duration,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Host,Clinical ,N/A,"['ENA ERC32', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Duration of antiviral treatment after onset of clinical symptoms in days.example: 5,N/A,N/A,N/A,N/A,N/A,optional,optional,5,Decimal number value(!),text,unique,0ds,N/A,metadata,range,N/A
antiviral_treatment_initiation,Antiviral Treatment Initiation,Initiation of antiviral treatment after onset of clinical symptoms in days. example: 2.5.,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,antiviral treatment initiation,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Host,Clinical ,N/A,"['ENA ERC32', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Initiation of antiviral treatment after onset of clinical symptoms in days. example: 2.5,N/A,N/A,N/A,N/A,N/A,optional,optional,2.5,Decimalnumber value(!),text,unique,0dt,N/A,metadata,range,N/A
file_format,File Format,The run data file model.,keyword,private,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,file_format,file_format,N/A,N/A,N/A,N/A,ENA Run,VJDB Run,Internal,N/A,Workflows,"['ENA ERC32', 'ENA ERC33', 'Internal', 'ENA Run', 'VJDB Run', 'Workflows']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) The run data file model.,N/A,N/A,(Mandatory) The run data file model.,N/A,TEXT_CHOICE_FIELD,mandatory,mandatory,N/A,N/A,combo,controlled_vocabulary,0du,N/A,metadata,no ,N/A
file_name,File Name,The name or relative pathname of a run data file.,keyword,private,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,file_name,file_name,N/A,N/A,N/A,N/A,ENA Run,VJDB Run,Internal,N/A,Workflows,"['ENA ERC32', 'ENA ERC33', 'Internal', 'ENA Run', 'VJDB Run', 'Workflows']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) The name or relative pathname of a run data file.,N/A,N/A,(Mandatory) The name or relative pathname of a run data file.,N/A,TEXT_FIELD,mandatory,mandatory,N/A,N/A,text,freetext,0dv,N/A,metadata,no ,N/A
